                
  Z                     H [1/MPC]               COMOV. DIST.        ANG.DIAM.DIST.          LUM. DIST.              GR.FAC. D               GR.FAC. F             
    
  99999999999999.0      2.157468236847106e+22   13895.564132079582  1.3895564132079583e-10  1.3895564132079583e+18  5.422134032479965e-20   200000000000000.0     
  99304865938429.94     2.1275778950005074e+22  13895.56413207955   1.3992833081004113e-10  1.379897133275029e+18   7.564542527546247e-08   143.3565615563566     
  98614563990496.4      2.098101664713213e+22   13895.564132079517  1.4090782912571115e-10  1.370304998287016e+18   1.512908505508621e-07   71.67828077819948     
  97929060566530.64     2.0690338087345607e+22  13895.564132079484  1.4189418392959085e-10  1.3607795414965366e+18  2.2693627582625142e-07  47.78552051880279     
  97248322310358.1      2.0403686692998257e+22  13895.564132079451  1.428874432170977e-10   1.3513202994007278e+18  3.0258170110163186e-07  35.839140389102276    
  96572316097674.33     2.0121006670289916e+22  13895.564132079417  1.4388765531961709e-10  1.3419268117186929e+18  3.7822712637700364e-07  28.67131231128128     
  95901009034433.23     1.9842242998407826e+22  13895.564132079384  1.4489486890685415e-10  1.3325986213691054e+18  4.5387255165236716e-07  23.892760259400337    
  95234368455246.47     1.956734141881739e+22   13895.56413207935   1.459091329892018e-10   1.3233352744479657e+18  5.295179769277226e-07   20.479508793770954    
  94572361921793.84     1.9296248424701268e+22  13895.564132079317  1.4693049692012597e-10  1.3141363202065162e+18  6.051634022030702e-07   17.91957019454886     
  93914957221245.1      1.902891125054486e+22   13895.564132079282  1.4795901039856654e-10  1.3050013110293074e+18  6.808088274784088e-07   15.92850683959834     
  93262122364692.19     1.8765277861865973e+22  13895.564132079247  1.4899472347135622e-10  1.2959298024124165e+18  7.564542527537399e-07   14.335656155637908    
  92613825585592.98     1.8505296945086904e+22  13895.564132079213  1.500376865356554e-10   1.28692135294182e+18    8.320996780290631e-07   13.032414686943007    
  91970035338225.38     1.824891789754671e+22   13895.564132079176  1.5108795034140464e-10  1.2779755242719127e+18  9.077451033043781e-07   11.946380129697271    
  91330720296152.25     1.7996090817651942e+22  13895.564132079142  1.5214556599379418e-10  1.2690918811041797e+18  9.833905285796868e-07   11.027427812027788    
  90695849350697.33     1.7746766495163794e+22  13895.564132079106  1.532105849557504e-10   1.2602699911660137e+18  1.059035953854987e-06   10.239754396882539    
  90065391609431.25     1.7500896401619824e+22  13895.564132079071  1.5428305905044036e-10  1.2515094251896822e+18  1.1346813791302798e-06  9.55710410375667      
  89439316394668.53     1.7258432680888399e+22  13895.564132079035  1.5536304046379308e-10  1.2428097568914383e+18  1.2103268044055656e-06  8.959785097271538     
  88817593241974.66     1.7019328139853944e+22  13895.564132078998  1.564505817470393e-10   1.234170562950779e+18   1.2859722296808455e-06  8.432738915078785     
  88200191898683.81     1.6783536239231319e+22  13895.564132078962  1.5754573581926826e-10  1.225591422989846e+18   1.361617654956119e-06   7.964253419796342     
  87587082322426.78     1.65510110845074e+22    13895.564132078925  1.586485559700028e-10   1.2170719195529715e+18  1.4372630802313856e-06  7.545082187175222     
  86978234679669.03     1.6321707417008159e+22  13895.564132078887  1.5975909586179249e-10  1.208611638086363e+18   1.512908505506646e-06   7.167828077816225     
  86373619344259.17     1.6095580605089545e+22  13895.56413207885   1.6087740953282468e-10  1.2002101669179336e+18  1.5885539307819002e-06  6.826502931253331     
  85773206895987.2      1.5872586635450377e+22  13895.564132078813  1.620035513995541e-10   1.1918670972372687e+18  1.664199356057149e-06   6.516207343468891     
  85176968119153.1      1.5652682104565595e+22  13895.564132078774  1.6313757625935058e-10  1.1835820230757348e+18  1.7398447813323914e-06  6.232893980709198     
  84584874001145.03     1.5435824210238203e+22  13895.564132078736  1.6427953929316566e-10  1.175354541286724e+18   1.8154902066076278e-06  5.973190064846154     
  83996895731027.78     1.5221970743268255e+22  13895.564132078698  1.6542949606821747e-10  1.1671842515260378e+18  1.891135631882859e-06   5.734262462252166     
  83413004698140.75     1.501108007923726e+22   13895.56413207866   1.665875025406946e-10   1.1590707562324073e+18  1.9667810571580845e-06  5.513713906011571     
  82833172490705.75     1.480311117040642e+22   13895.564132078622  1.6775361505847912e-10  1.1510136606081463e+18  2.0424264824333063e-06  5.309502279862876     
  82257370894444.58     1.4598023537727071e+22  13895.564132078582  1.689278903638881e-10   1.1430125725999427e+18  2.1180719077085227e-06  5.1198771984391005    
  81685571891206.1      1.4395777262961889e+22  13895.564132078543  1.7011038559643491e-10  1.1350671028797806e+18  2.193717332983734e-06   4.943329708837663     
  81117747657602.83     1.4196332980915162e+22  13895.564132078503  1.7130115829560954e-10  1.1271768648259948e+18  2.2693627582589414e-06  4.77855205187633      
  80553870563657.17     1.3999651871770792e+22  13895.564132078463  1.7250026640367842e-10  1.1193414745044596e+18  2.3450081835341438e-06  4.624405211493158     
  79993913171456.94     1.3805695653536382e+22  13895.564132078423  1.7370776826850372e-10  1.1115605506499067e+18  2.420653608809342e-06   4.479892548633943     
  79437848233820.14     1.3614426574592047e+22  13895.564132078382  1.7492372264638283e-10  1.103833714647371e+18   2.496299034084536e-06   4.344138228978325     
  78885648692969.31     1.3425807406342435e+22  13895.564132078342  1.7614818870490708e-10  1.096160590513771e+18   2.5719444593597268e-06  4.216369457537752     
  78337287679214.75     1.3239801435970561e+22  13895.5641320783    1.7738122602584103e-10  1.0885408048796097e+18  2.647589884634915e-06   4.095901758750934     
  77792738509647.17     1.305637245929203e+22   13895.564132078258  1.7862289460802146e-10  1.0809739869708101e+18  2.7232353099101006e-06  3.9821267098967232    
  77251974686839.25     1.2875484773708252e+22  13895.564132078218  1.798732548702772e-10   1.0734597685906717e+18  2.798880735185283e-06   3.8745016636832883    
  76714969897556.3      1.2697103171257293e+22  13895.564132078174  1.8113236765436868e-10  1.065997784101954e+18   2.8745261604604617e-06  3.772541093586361     
  76181698011475.92     1.2521192931761005e+22  13895.564132078132  1.8240029422794879e-10  1.0585876704090867e+18  2.950171585735639e-06   3.6758092706738976    
  75652133079916.47     1.2347719816067085e+22  13895.56413207809   1.8367709628754397e-10  1.0512290669404996e+18  3.0258170110108127e-06  3.5839140389070674    
  75126249334574.39     1.2176650059384783e+22  13895.564132078047  1.849628359615563e-10   1.043921615631078e+18   3.1014624362859854e-06  3.496501501372772     
  74604021186270.45     1.2007950364712911e+22  13895.564132078003  1.862575758132867e-10   1.036664960904741e+18   3.177107861561156e-06   3.4132514656258324    
